A-levels scores,Education,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Was Hired by a Company within 6 months
81,law,salaried,law,0,1,1
52,arts,contractual,arts,145882,0,0
77,stem,unemployed,unemployed,0,1,0
46,stem,self business,it,96719,1,0
65,law,salaried,it,74300,1,0
81,business,salaried,health,0,1,1
46,stem,salaried,transportation,142399,1,0
82,arts,salaried,accounting,46975,1,1
80,stem,unemployed,unemployed,0,0,0
89,business,self business,health,137643,1,1
69,law,self business,it,118827,0,0
66,arts,contractual,it,54258,1,0
71,law,salaried,health,72661,1,1
57,business,contractual,health,96328,1,0
59,arts,unemployed,unemployed,0,1,0
53,arts,self business,arts,87583,1,0
86,business,contractual,accounting,93484,1,1
81,stem,self business,it,102912,1,1
68,law,unemployed,unemployed,0,1,0
73,stem,salaried,engineering,116159,1,1
55,law,salaried,arts,80274,1,0
54,stem,contractual,accounting,105692,0,0
70,law,self business,it,99230,1,1
59,law,unemployed,unemployed,0,1,0
67,law,unemployed,unemployed,0,0,0
53,stem,self business,law,82518,0,0
62,arts,self business,health,90895,1,0
74,stem,self business,health,109613,1,1
65,law,contractual,law,87304,0,0
86,law,salaried,it,75726,1,1
78,stem,contractual,accounting,119519,1,0
89,law,self business,engineering,48547,1,1
86,law,contractual,accounting,124330,1,1
43,arts,salaried,accounting,98850,1,0
79,arts,salaried,law,124425,1,1
79,arts,unemployed,unemployed,0,1,0
81,business,contractual,health,108708,1,1
52,stem,contractual,arts,138917,1,0
47,law,salaried,law,82619,1,0
54,arts,salaried,it,72054,1,0
81,law,salaried,engineering,45329,1,1
73,business,salaried,law,86531,1,0
51,stem,unemployed,unemployed,0,1,0
87,business,contractual,it,72047,1,1
87,stem,contractual,law,146532,1,1
71,stem,self business,transportation,123041,1,1
75,arts,self business,law,84149,1,1
89,law,salaried,arts,0,1,1
52,business,unemployed,unemployed,0,1,0
46,business,salaried,transportation,40244,0,0
85,arts,salaried,law,132052,1,1
50,arts,self business,health,127322,0,0
89,stem,contractual,transportation,78218,1,1
87,stem,contractual,engineering,0,1,1
48,arts,salaried,it,114278,0,0
78,stem,contractual,engineering,82888,1,1
46,stem,salaried,arts,68937,0,0
41,arts,contractual,arts,87108,1,0
77,law,salaried,law,76108,0,0
84,law,salaried,law,110324,1,1
81,arts,self business,engineering,0,1,1
59,law,salaried,engineering,123168,1,0
40,stem,unemployed,unemployed,0,1,0
89,arts,self business,it,122270,1,1
50,business,salaried,engineering,148094,1,0
89,stem,self business,health,145043,1,1
83,stem,contractual,engineering,92441,1,1
51,stem,self business,engineering,94511,1,0
62,law,salaried,it,66195,0,0
71,stem,self business,it,103894,0,0
52,business,contractual,it,71421,1,0
67,stem,unemployed,unemployed,0,1,0
69,law,unemployed,unemployed,0,0,0
69,law,unemployed,unemployed,0,0,0
72,arts,self business,law,77152,1,1
40,stem,self business,accounting,65791,0,0
52,arts,contractual,arts,40476,0,0
55,business,self business,accounting,142638,0,0
69,arts,unemployed,unemployed,0,0,0
87,business,salaried,health,81253,1,1
80,business,contractual,arts,82860,0,0
53,law,unemployed,unemployed,0,0,0
65,stem,salaried,arts,66324,1,0
60,arts,unemployed,unemployed,0,1,0
85,stem,salaried,law,0,1,1
46,law,salaried,health,80423,0,0
53,arts,unemployed,unemployed,0,0,0
85,stem,salaried,engineering,75842,1,1
64,business,self business,health,79915,0,0
70,arts,self business,law,107289,0,0
60,arts,contractual,it,69580,1,0
63,arts,unemployed,unemployed,0,0,0
84,law,contractual,health,0,1,1
55,law,contractual,engineering,140350,1,0
76,stem,unemployed,unemployed,0,1,0
85,arts,self business,it,0,1,1
54,stem,self business,health,94315,0,0
42,business,contractual,law,138475,0,0
86,stem,salaried,it,68917,1,1
89,business,salaried,it,80585,1,1
47,arts,salaried,transportation,49224,1,0
88,law,self business,law,75211,1,1
61,law,unemployed,unemployed,0,0,0
56,stem,contractual,health,55046,1,0
56,stem,salaried,it,80011,1,0
79,law,unemployed,unemployed,0,1,0
40,stem,unemployed,unemployed,0,0,0
58,arts,unemployed,unemployed,0,0,0
58,business,unemployed,unemployed,0,1,0
48,stem,salaried,arts,49240,1,0
60,business,contractual,it,136786,1,0
49,arts,unemployed,unemployed,0,0,0
89,stem,salaried,health,115330,1,1
70,arts,self business,law,118669,1,0
58,stem,self business,it,146480,0,0
50,arts,unemployed,unemployed,0,0,0
43,stem,salaried,it,130107,1,0
69,stem,contractual,transportation,133027,0,0
55,business,unemployed,unemployed,111286,0,0
67,arts,salaried,transportation,43364,1,0
80,business,unemployed,unemployed,0,1,0
60,arts,contractual,accounting,145702,1,0
70,business,salaried,transportation,75712,1,1
45,stem,self business,law,58583,1,0
64,business,unemployed,unemployed,0,0,0
82,law,self business,engineering,74162,1,1
76,law,contractual,arts,88499,1,0
49,stem,contractual,arts,94391,1,0
74,arts,self business,it,129994,1,1
66,business,self business,engineering,79538,0,0
58,law,contractual,arts,98260,1,0
55,business,unemployed,unemployed,0,1,0
63,arts,self business,arts,86264,1,0
83,business,contractual,it,117948,1,1
84,arts,salaried,health,66575,1,1
85,stem,self business,law,46131,1,1
81,law,self business,accounting,84038,1,1
81,business,contractual,it,75377,1,1
89,stem,self business,health,77632,1,1
40,business,contractual,health,106594,1,0
87,arts,self business,transportation,148345,1,1
89,arts,salaried,it,45610,1,1
46,arts,self business,health,79763,0,0
